word,definition,part_of_speech,example,word_in_sentence,blanked_example,form
aberrant,markedly different from an accepted norm,adjective,"When the financial director started screaming and throwing food at his co-workers, the police had to come in to deal with his aberrant behavior.",aberrant,"When the financial director started screaming and throwing food at his co-workers, the police had to come in to deal with his <BLANK> behavior.",base
aberration,a deviation from what is normal or expected,noun,Aberrations in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.,Aberrations,<BLANK> in climate have become the norm: rarely a week goes by without some meteorological phenomenon making headlines.,plural
abstain,choose not to consume or take part in (particularly something enjoyable),verb,"Considered a health nut, Jessica abstained from anything containing sugar--even chocolate.",abstained,"Considered a health nut, Jessica <BLANK> from anything containing sugar--even chocolate.",past tense
abstruse,difficult to understand; incomprehensible,adjective,Physics textbooks can seem so abstruse to the uninitiated that readers feel as though they are looking at hieroglyphics.,abstruse,Physics textbooks can seem so <BLANK> to the uninitiated that readers feel as though they are looking at hieroglyphics.,base
accolade,an award or praise granted as a special honor,noun,"Jean Paul-Sartre was not a fan of accolades, and as such, he refused to accept the Nobel Prize for Literature in 1964.",accolades,"Jean Paul-Sartre was not a fan of <BLANK>, and as such, he refused to accept the Nobel Prize for Literature in 1964.",plural
acerbic,harsh in tone,adjective,"Most movie critics are acerbic towards summer blockbusters, often referring to them as garbage.",acerbic,"Most movie critics are <BLANK> towards summer blockbusters, often referring to them as garbage.",base
acrimony,bitterness and ill will,noun,"Supporters say this is the mark of a unifying candidate, though the fear remains that once voting is over, the old bitterness and acrimony will return without wholesale reform.",acrimony,"Supporters say this is the mark of a unifying candidate, though the fear remains that once voting is over, the old bitterness and <BLANK> will return without wholesale reform.",singular
adamant,refusing to change one's mind,adjective,"Civil rights icon Rosa Parks will forever be remembered for adamantly refusing to give up her seat on a public bus--even after the bus driver insisted, she remained rooted in place.",adamantly,"Civil rights icon Rosa Parks will forever be remembered for <BLANK> refusing to give up her seat on a public bus--even after the bus driver insisted, she remained rooted in place.",adverbial form
admonish,"to warn strongly, even to the point of reprimanding",verb,"Before the concert began, security personel admonished the crowd not to come up on stage during the performance.",admonished,"Before the concert began, security personel <BLANK> the crowd not to come up on stage during the performance.",past tense
admonitory,serving to warn; expressing reproof or reproach especially as a corrective,adjective,"At the assembly, the high school vice-principal gave the students an admonitory speech, warning them of the many risks and dangers of prom night.",admonitory,"At the assembly, the high school vice-principal gave the students an <BLANK> speech, warning them of the many risks and dangers of prom night.",base
aesthete,one who professes great sensitivity to the beauty of art and nature,noun,"A true aesthete, Marty would spend hours at the Guggenheim Museum, staring at the same Picasso.",aesthete,"A true <BLANK>, Marty would spend hours at the Guggenheim Museum, staring at the same Picasso.",singular
aesthetic,concerned with the appreciation of beauty,adjective,"The director, not known for his aesthetic sensibilities, decided not to use costumes at all, and put on the play in everyday clothing.",aesthetic,"The director, not known for his <BLANK> sensibilities, decided not to use costumes at all, and put on the play in everyday clothing.",base
aesthetic,a set of principles underlying and guiding the work of a particular artist or artistic,noun,"The artist operated according to a peculiar aesthetic, not considering any photograph to be worth publishing unless it contained a marine mammal.",aesthetic,"The artist operated according to a peculiar <BLANK>, not considering any photograph to be worth publishing unless it contained a marine mammal.",singular
amalgam,a mixture of multiple things,noun,"The band's music was an amalgam of hip-hop, flamenco and jazz, blending the three styles with surprising results.",amalgam,"The band's music was an <BLANK> of hip-hop, flamenco and jazz, blending the three styles with surprising results.",singular
ambiguous,open to more than one interpretation,adjective,"The coach told his team, ""Move towards that side of the field""; because he did not point, his directions were ambiguous, and the team had no idea to which side he was referring.",ambiguous,"The coach told his team, ""Move towards that side of the field""; because he did not point, his directions were <BLANK>, and the team had no idea to which side he was referring.",base
ambivalent,mixed or conflicting emotions about something,adjective,"Sam was ambivalent about studying for the exam because doing so ate up a lot of his time, yet he was able to improve his analytical skills.",ambivalent,"Sam was <BLANK> about studying for the exam because doing so ate up a lot of his time, yet he was able to improve his analytical skills.",base
ameliorate,make something bad better,verb,Three Cups of Tea tells the story of western man who hopes to ameliorate poverty and the lack of education in Afghanistan.,ameliorate,Three Cups of Tea tells the story of western man who hopes to <BLANK> poverty and the lack of education in Afghanistan.,base
amenable,easily persuaded,adjective,"Even though she did not like the outdoors, Shirley was generally amenable and so her brother was able to persuade her to go camping.",amenable,"Even though she did not like the outdoors, Shirley was generally <BLANK> and so her brother was able to persuade her to go camping.",base
amorphous,shapeless,adjective,His study plan for the GRE was at best amorphous; he would do questions from random pages in any one of seven test prep books.,amorphous,His study plan for the GRE was at best <BLANK>; he would do questions from random pages in any one of seven test prep books.,base
anomalous,not normal,adjective,"According to those who do not believe in climate change, the extreme weather over the last five years is simply anomalous--average temps should return to average, they believe.",anomalous,"According to those who do not believe in climate change, the extreme weather over the last five years is simply <BLANK>--average temps should return to average, they believe.",base
anomaly,"something that is not normal, standard, or expected",noun,"After finding an anomaly in the data, she knew that she would have to conduct her experiment again.",anomaly,"After finding an <BLANK> in the data, she knew that she would have to conduct her experiment again.",singular
antipathy,an intense feeling of dislike or aversion,noun,"Maria had an antipathy for tour groups, often bolting to the other side of the museum as soon as she saw a chaperone leading a group of wide-eyed tourists.",antipathy,"Maria had an <BLANK> for tour groups, often bolting to the other side of the museum as soon as she saw a chaperone leading a group of wide-eyed tourists.",singular
antithetical,sharply contrasted in character or purpose,adjective,"His deep emotional involvement with these ideas is, in fact, antithetical to the disattachment Buddhism preaches.",antithetical,"His deep emotional involvement with these ideas is, in fact, <BLANK> to the disattachment Buddhism preaches.",base
apathetic,marked by a lack of interest,adjective,Mr. Thompson was so talented at teaching math that even normally apathetic students took interest.,apathetic,Mr. Thompson was so talented at teaching math that even normally <BLANK> students took interest.,base
apathy,an absence of emotion or enthusiasm,noun,Widespread apathy among voters led to a very small turnout on election day.,apathy,Widespread <BLANK> among voters led to a very small turnout on election day.,singular
apocryphal,being of questionable authenticity,adjective,The web is notorious for sandwiching apocryphal stories between actual news.,apocryphal,The web is notorious for sandwiching <BLANK> stories between actual news.,base
appease,pacify by acceding to the demands of,verb,"Neville Chamberlain, the British prime minister during WWII, tried to appease Hitler and in doing so sent a clear message: you can walk all over us.",appease,"Neville Chamberlain, the British prime minister during WWII, tried to <BLANK> Hitler and in doing so sent a clear message: you can walk all over us.",base
arbitrary,"based on a random, groundless decision",adjective,One of the arbitrary decrees in place during the emperor's rule is that all citizens pay him weekly homage at his palace.,arbitrary,One of the <BLANK> decrees in place during the emperor's rule is that all citizens pay him weekly homage at his palace.,base
arcane,requiring secret or mysterious knowledge,adjective,Most college fraternities are known for arcane rituals that those hoping to the join the fraterntiy must learn.,arcane,Most college fraternities are known for <BLANK> rituals that those hoping to the join the fraterntiy must learn.,base
arduous,demanding considerable mental effort and skill; testing powers of endurance,adjective,"In order to deal with the arduous cross-country journey, truck drivers often survive on a string of caffeinated drinks, staying awake for up to 30 hours at a time.",arduous,"In order to deal with the <BLANK> cross-country journey, truck drivers often survive on a string of caffeinated drinks, staying awake for up to 30 hours at a time.",base
artful,exhibiting artistic skill,adjective,Picasso is generally considered the most artful member of the Cubist movement.,artful,Picasso is generally considered the most <BLANK> member of the Cubist movement.,base
artful,clever in a cunning way,adjective,Bernie Madoff's artful Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in U.S. history.,artful,Bernie Madoff's <BLANK> Ponzi scheme stole billions of dollars from investors and is considered the largest financial fraud in U.S. history.,base
ascetic,practicing self-denial,adjective,"His ascetic life is the main reason he inspired so many followers, especially since he gave up wealth and power to live in poverty.",ascetic,"His <BLANK> life is the main reason he inspired so many followers, especially since he gave up wealth and power to live in poverty.",base
ascetic,one who practices great self-denial,noun,"Historically, ascetics like Ghandi are often considered wise men partially because of their restraint.",ascetics,"Historically, <BLANK> like Ghandi are often considered wise men partially because of their restraint.",plural
askance,with a look of suspicion or disapproval,adverb,"The old couple looked askance on the teenagers seated next to them, whispering to each other, ""They've got rings through their noses and purple hair!""",askance,"The old couple looked <BLANK> on the teenagers seated next to them, whispering to each other, ""They've got rings through their noses and purple hair!""",base
audacious,willing to be bold in social situations or to take risks,adjective,"As all of the other campers cowered in their tents, Bill, armed only with a flashlight, audaciously tracked down the bear that had raided their food.",audaciously,"As all of the other campers cowered in their tents, Bill, armed only with a flashlight, <BLANK> tracked down the bear that had raided their food.",adverbial form
audacity,aggressive boldness in social situations,noun,She surprised her colleagues by having the audacity to publically criticize the findings of an distinguished scientist.,audacity,She surprised her colleagues by having the <BLANK> to publically criticize the findings of an distinguished scientist.,singular
auspicious,"favorable, the opposite of sinister",adjective,"Despite an auspicious beginning, Mike's road trip became a series of mishaps, and he was soon stranded and penniless, leaning against his wrecked automobile.",auspicious,"Despite an <BLANK> beginning, Mike's road trip became a series of mishaps, and he was soon stranded and penniless, leaning against his wrecked automobile.",base
austere,practicing self-denial,adjective,His lifestyle of revelry and luxurious excess could hardly be called austere.,austere,His lifestyle of revelry and luxurious excess could hardly be called <BLANK>.,base
austere,unadorned in style or appearance,adjective,"Late Soviet architecture, although remaining largely austere, moved into experimental territory that employed previously unused shapes and structures.",austere,"Late Soviet architecture, although remaining largely <BLANK>, moved into experimental territory that employed previously unused shapes and structures.",base
austere,harsh in manner of temperament,adjective,"The principal of my elementary school was a cold, austere woman; I could never understand why she chose to work with children.",austere,"The principal of my elementary school was a cold, <BLANK> woman; I could never understand why she chose to work with children.",base
avaricious,excessively greedy,adjective,Since avaricious desire is similar to gluttony or lust--sins of excess--it was listed as one of the seven deadly sins by the Catholic church.,avaricious,Since <BLANK> desire is similar to gluttony or lust--sins of excess--it was listed as one of the seven deadly sins by the Catholic church.,base
banal,repeated too often; overfamiliar through overuse,adjective,The professor used such banal expression that many students in the class either fell asleep from bordeom or stayed awake to complete his sentences and humor friends.,banal,The professor used such <BLANK> expression that many students in the class either fell asleep from bordeom or stayed awake to complete his sentences and humor friends.,base
banality,a trite or obvious remark,noun,Herbert regarded the minister's remark as a mere banality until Sharon pointed out profound implications to the seemingly obvious words.,banality,Herbert regarded the minister's remark as a mere <BLANK> until Sharon pointed out profound implications to the seemingly obvious words.,singular
belie,to give a false representation to; misrepresent,verb,The smile on her face belies the pain she must feel after the death of her husband.,belies,The smile on her face <BLANK> the pain she must feel after the death of her husband.,3rd person singular
belligerent,characteristic of one eager to fight,adjective,"Tom said that he was arguing the matter purely for philosophical reasons, but his belligerent tone indicated an underlying anger about the issue.",belligerent,"Tom said that he was arguing the matter purely for philosophical reasons, but his <BLANK> tone indicated an underlying anger about the issue.",base
betray,"to reveal or make known something, usually unintentionally",verb,"With the gold medal at stake, the gymnast awaited his turn, his quivering lip betraying his intense emotions.",betraying,"With the gold medal at stake, the gymnast awaited his turn, his quivering lip <BLANK> his intense emotions.",present part./gerund
blatant,without any attempt at concealment; completely obvious,adjective,Allen was often punished in school for blatantly disrespecting teachers.,blatantly,Allen was often punished in school for <BLANK> disrespecting teachers.,adverbial form
bolster,support and strengthen,verb,The case for the suspect's innocence was bolstered considerably by the fact that neither fingerprints nor DNA were found at the scene.,bolstered,The case for the suspect's innocence was <BLANK> considerably by the fact that neither fingerprints nor DNA were found at the scene.,past part.
brazen,unrestrained by convention or propriety,adjective,"Their large ""donations"" to the local police department gave the drug cartel the brazen confidence to do their business out in the open.",brazen,"Their large ""donations"" to the local police department gave the drug cartel the <BLANK> confidence to do their business out in the open.",base
